[15:22:30] WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[26]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[53]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[54]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[56]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[57]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[58]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[59]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[60]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[61]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[62]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[63]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[64]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[65]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[67]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[68]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[69]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[70]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  Net name has already been used: `gnd`                                                                                                                                                                                                                                                                                                                                                                                                                                                           
           WARNING  Net name has already been used: `gnd`                                                                                                                                                                                                                                                                                                                                                                                                                                                           
           WARNING  Net name has already been used: `i2c_sda`                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  Net name has already been used: `gnd`                                                                                                                                                                                                                                                                                                                                                                                                                                                           
           WARNING  Net name has already been used: `gnd`                                                                                                                                                                                                                                                                                                                                                                                                                                                           
           WARNING  Net name has already been used: `gnd`                                                                                                                                                                                                                                                                                                                                                                                                                                                           
           WARNING  Net name has already been used: `gnd`                                                                                                                                                                                                                                                                                                                                                                                                                                                           
           WARNING  Net name has already been used: `gnd`                                                                                                                                                                                                                                                                                                                                                                                                                                                           
           WARNING  Net name has already been used: `vcc`                                                                                                                                                                                                                                                                                                                                                                                                                                                           
           WARNING  Net name has already been used: `vcc`                                                                                                                                                                                                                                                                                                                                                                                                                                                           
           WARNING  Net name has already been used: `vcc`                                                                                                                                                                                                                                                                                                                                                                                                                                                           
           WARNING  Net name has already been used: `vcc`                                                                                                                                                                                                                                                                                                                                                                                                                                                           
           WARNING  Net name has already been used: `gnd`                                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Updating `RAK_Wireless_RAK3172__EU868__without_IPEX:LCC-40_L15.6-W15.0-P1.00_RAK3172`->`RAKwireless_RAK3172_SIP_8_SM_NI:LGA-73_L12.0-W12.0-P0.60-TL` on `blah.u1` (U1)                                                                                                                                                                                                                                                                                                                          
           INFO     Updating `LCSC`->`C19818882` on `blah.u1` (U1)                                                                                                                                                                                                                                                                                                                                                                                                                                                  
           INFO     Updating `Manufacturer`->`RAKwireless` on `blah.u1` (U1)                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Updating `Partnumber`->`RAK3172-SIP-8-SM-NI` on `blah.u1` (U1)                                                                                                                                                                                                                                                                                                                                                                                                                                  
           INFO     Updating `Reference`->`U1` on `blah.u1` (U1)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Value`->`` on `blah.u1` (U1)                                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Renaming net `PA11_I2C_SDA`->`VFBSMPS`                                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Renaming net `PB4_ADC2`->`PA4`                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
           INFO     Adding net `PA12`                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
           INFO     Adding net `i2c_sda`                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
           INFO     Renaming net `PB7_UART1_RX`->`PC13`                                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Renaming net `vcc`->`PC3`                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Adding net `PA9`                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Renaming net `PA7_SPI1_MOSI`->`VLXSMPS`                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Renaming net `gnd`->`VDDMPS`                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Renaming net `blah-net-0`->`blah-net-4`                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Adding net `PA6`                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Adding net `blah-net-1`                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Adding net `PB13`                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
           INFO     Renaming net `PA5_SPI1_CLK`->`PB4`                                                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Adding net `BOOT0`                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Renaming net `PA12_I2C_SCL`->`PB15`                                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Renaming net `PA0_ADC4`->`PC4`                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
           INFO     Renaming net `RST`->`PC1`                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Adding net `PA10`                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
           INFO     Renaming net `PA1`->`VREFpos`                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Adding net `gnd`                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Adding net `blah-net-3`                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Adding net `blah-net-2`                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Adding net `PB1`                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Renaming net `PB5`->`PA3_UART2_RX`                                                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Renaming net `i2c_sda`->`VBAT`                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
           INFO     Adding net `PA8`                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Renaming net `PA9`->`PB9`                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Renaming net `PB12`->`PC6`                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Adding net `PA7`                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Adding net `PB7_UART1_RX`                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Renaming net `PA6_SPI1_MISO`->`PB3`                                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding net `PB10`                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
           INFO     Renaming net `blah-net-1`->`blah-net-5`                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Adding net `PB14`                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
           INFO     Adding net `i2c_scl`                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
           INFO     Adding net `NRST`                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
           INFO     Renaming net `PA3_UART2_RX`->`PA13`                                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding net `PB12`                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
           INFO     Adding net `PA11`                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
           INFO     Adding net `PB11`                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
           INFO     Renaming net `PA0`->`PA2_UART2_TX`                                                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Adding net `PB2`                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Renaming net `BOOT0`->`PC0`                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
           INFO     Renaming net `PA8`->`PB8`                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Renaming net `PA4_SPI1_NSS`->`PB5`                                                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Adding net `vcc`                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Adding net `RF_OUT`                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Renaming net `PB3_ADC1`->`PA5`                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
           INFO     Renaming net `PB2_ADC3`->`PC5`                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
           INFO     Renaming net `PA2_UART2_TX`->`PA14`                                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding net `PC2`                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Adding net `blah-net-0`                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Removing net `PA13_SWDIO`                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Removing net `PA14_SWCLK`                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Removing net `RF`                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
           INFO     Removing net `i2c_scl`                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Positioning 0 footprints                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Applying routes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Backing up layout to /Users/glovepost/Projects/aertactx-dogtracker/build/builds/example/example.20260109-152230.kicad_pcb                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Updating layout /Users/glovepost/Projects/aertactx-dogtracker/layouts/example/example.kicad_pcb                                                                                                                                                                                                                                                                                                                                                                                                 
           DEBUG    Updating group blah                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
