[16:09:42] INFO     Adding `Q_J_CR2032_BS_6_1:BAT-TH_CR2032-BS-6-1` as `blah.b1` (B1)                                                                                                                                                                                                                                                                                                                                                                                                                               
           INFO     Adding `Partnumber`=`LQM18FN100M00D` to `blah.e1` (L2)                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `PARAM_dc_resistance`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 1.17, "max": 1.17}}]}}, "unit": "ohm"}}` to `blah.e1` (L2)                                                                                                                                                                                                                                      
           INFO     Adding `PARAM_inductance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 7.99999997e-06, "max": 1.200000003e-05}}]}}, "unit": "henry"}}` to `blah.e1` (L2)                                                                                                                                                                                                             
           INFO     Adding `PARAM_max_current`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.05, "max": 0.05}}]}}, "unit": "ampere"}}` to `blah.e1` (L2)                                                                                                                                                                                                                                     
           INFO     Adding `PARAM_saturation_current`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.05, "max": 0.05}}]}}, "unit": "ampere"}}` to `blah.e1` (L2)                                                                                                                                                                                                                              
           INFO     Adding `PARAM_self_resonant_frequency`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 30000000.0, "max": 30000000.0}}]}}, "unit": "hertz"}}` to `blah.e1` (L2)                                                                                                                                                                                                              
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Murata-Electronics-LQM18FN100M00D_C86083.pdf` to `blah.e1` (L2)                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Reference`->`L2` on `blah.e1` (L2)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Value`->`10µH ±20% 30MHz 50mA 1.17Ω` on `blah.e1` (L2)                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Adding `atopile_address`=`blah.e1` to `blah.e1` (L2)                                                                                                                                                                                                                                                                                                                                                                                                                                            
           INFO     Adding `atopile_subaddresses`=`[layouts/default/default.kicad_pcb:e1]` to `blah.e1` (L2)                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding `Murata_Electronics_LQM18FN100M00D:L0603` as `blah.e2` (L3)                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Adding `LCSC`=`C86083` to `blah.e2` (L3)                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding `Manufacturer`=`Murata Electronics` to `blah.e2` (L3)                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Adding `Partnumber`=`LQM18FN100M00D` to `blah.e2` (L3)                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `PARAM_dc_resistance`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 1.17, "max": 1.17}}]}}, "unit": "ohm"}}` to `blah.e2` (L3)                                                                                                                                                                                                                                      
           INFO     Adding `PARAM_inductance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 7.99999997e-06, "max": 1.200000003e-05}}]}}, "unit": "henry"}}` to `blah.e2` (L3)                                                                                                                                                                                                             
           INFO     Adding `PARAM_max_current`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.05, "max": 0.05}}]}}, "unit": "ampere"}}` to `blah.e2` (L3)                                                                                                                                                                                                                                     
           INFO     Adding `PARAM_saturation_current`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.05, "max": 0.05}}]}}, "unit": "ampere"}}` to `blah.e2` (L3)                                                                                                                                                                                                                              
           INFO     Adding `PARAM_self_resonant_frequency`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 30000000.0, "max": 30000000.0}}]}}, "unit": "hertz"}}` to `blah.e2` (L3)                                                                                                                                                                                                              
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Murata-Electronics-LQM18FN100M00D_C86083.pdf` to `blah.e2` (L3)                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Reference`->`L3` on `blah.e2` (L3)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Value`->`10µH ±20% 30MHz 50mA 1.17Ω` on `blah.e2` (L3)                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Adding `atopile_address`=`blah.e2` to `blah.e2` (L3)                                                                                                                                                                                                                                                                                                                                                                                                                                            
           INFO     Adding `atopile_subaddresses`=`[layouts/default/default.kicad_pcb:e2]` to `blah.e2` (L3)                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding `Murata_Electronics_LQM18FN100M00D:L0603` as `blah.e3` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Adding `LCSC`=`C86083` to `blah.e3` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding `Manufacturer`=`Murata Electronics` to `blah.e3` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Adding `Partnumber`=`LQM18FN100M00D` to `blah.e3` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `PARAM_dc_resistance`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 1.17, "max": 1.17}}]}}, "unit": "ohm"}}` to `blah.e3` (L4)                                                                                                                                                                                                                                      
           INFO     Adding `PARAM_inductance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 7.99999997e-06, "max": 1.200000003e-05}}]}}, "unit": "henry"}}` to `blah.e3` (L4)                                                                                                                                                                                                             
           INFO     Adding `PARAM_max_current`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.05, "max": 0.05}}]}}, "unit": "ampere"}}` to `blah.e3` (L4)                                                                                                                                                                                                                                     
           INFO     Adding `PARAM_saturation_current`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.05, "max": 0.05}}]}}, "unit": "ampere"}}` to `blah.e3` (L4)                                                                                                                                                                                                                              
           INFO     Adding `PARAM_self_resonant_frequency`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 30000000.0, "max": 30000000.0}}]}}, "unit": "hertz"}}` to `blah.e3` (L4)                                                                                                                                                                                                              
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Murata-Electronics-LQM18FN100M00D_C86083.pdf` to `blah.e3` (L4)                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Reference`->`L4` on `blah.e3` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Value`->`10µH ±20% 30MHz 50mA 1.17Ω` on `blah.e3` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Adding `atopile_address`=`blah.e3` to `blah.e3` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                                            
           INFO     Adding `atopile_subaddresses`=`[layouts/default/default.kicad_pcb:e3]` to `blah.e3` (L4)                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding `UNI_ROYAL_0603WAF1002T5E:R0603` as `blah.r12` (R5)                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Adding `LCSC`=`C25804` to `blah.r12` (R5)                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Adding `Manufacturer`=`UNI-ROYAL(Uniroyal Elec)` to `blah.r12` (R5)                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `Partnumber`=`0603WAF1002T5E` to `blah.r12` (R5)                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Adding `PARAM_max_power`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.1, "max": 0.1}}]}}, "unit": "watt"}}` to `blah.r12` (R5)                                                                                                                                                                                                                                          
           INFO     Adding `PARAM_max_voltage`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 75.0, "max": 75.0}}]}}, "unit": "volt"}}` to `blah.r12` (R5)                                                                                                                                                                                                                                      
           INFO     Adding `PARAM_resistance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 9900.000002235174, "max": 10099.999997764826}}]}}, "unit": "ohm"}}` to `blah.r12` (R5)                                                                                                                                                                                                        
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2206010045_UNI-ROYAL-Uniroyal-Elec-0603WAF1002T5E_C25804.pdf` to `blah.r12` (R5)                                                                                                                                                                                                                                                                                                                                              
           INFO     Updating `Reference`->`R5` on `blah.r12` (R5)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Updating `Value`->`10kΩ ±1% 100mW` on `blah.r12` (R5)                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Adding `atopile_address`=`blah.r12` to `blah.r12` (R5)                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `atopile_subaddresses`=`[layouts/default/default.kicad_pcb:r12]` to `blah.r12` (R5)                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Adding `UNI_ROYAL_0603WAF1002T5E:R0603` as `blah.r13` (R6)                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Adding `LCSC`=`C25804` to `blah.r13` (R6)                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Adding `Manufacturer`=`UNI-ROYAL(Uniroyal Elec)` to `blah.r13` (R6)                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `Partnumber`=`0603WAF1002T5E` to `blah.r13` (R6)                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Adding `PARAM_max_power`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.1, "max": 0.1}}]}}, "unit": "watt"}}` to `blah.r13` (R6)                                                                                                                                                                                                                                          
           INFO     Adding `PARAM_max_voltage`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 75.0, "max": 75.0}}]}}, "unit": "volt"}}` to `blah.r13` (R6)                                                                                                                                                                                                                                      
           INFO     Adding `PARAM_resistance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 9900.000002235174, "max": 10099.999997764826}}]}}, "unit": "ohm"}}` to `blah.r13` (R6)                                                                                                                                                                                                        
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2206010045_UNI-ROYAL-Uniroyal-Elec-0603WAF1002T5E_C25804.pdf` to `blah.r13` (R6)                                                                                                                                                                                                                                                                                                                                              
           INFO     Updating `Reference`->`R6` on `blah.r13` (R6)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Updating `Value`->`10kΩ ±1% 100mW` on `blah.r13` (R6)                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Adding `atopile_address`=`blah.r13` to `blah.r13` (R6)                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `atopile_subaddresses`=`[layouts/default/default.kicad_pcb:r13]` to `blah.r13` (R6)                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Adding `STMicroelectronics_LIS3DHTR:LGA-16_L3.0-W3.0-P0.50-TL` as `blah.u3` (U2)                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Adding `LCSC`=`C15134` to `blah.u3` (U2)                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding `Manufacturer`=`STMicroelectronics` to `blah.u3` (U2)                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Adding `Partnumber`=`LIS3DHTR` to `blah.u3` (U2)                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Updating `Reference`->`U2` on `blah.u3` (U2)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Value`->`` on `blah.u3` (U2)                                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `atopile_address`=`blah.u3` to `blah.u3` (U2)                                                                                                                                                                                                                                                                                                                                                                                                                                            
           INFO     Adding `atopile_subaddresses`=`[layouts/default/default.kicad_pcb:u3]` to `blah.u3` (U2)                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding `Texas_Instruments_LM431ACMX:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL` as `blah.u5` (U3)                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Updating `Reference`->`U3` on `blah.u5` (U3)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Value`->`` on `blah.u5` (U3)                                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `atopile_address`=`blah.u5` to `blah.u5` (U3)                                                                                                                                                                                                                                                                                                                                                                                                                                            
           INFO     Adding `atopile_subaddresses`=`[layouts/default/default.kicad_pcb:u5]` to `blah.u5` (U3)                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding `QST_QMI8658C:LGA-14_L3.0-W2.5-P0.50-BR` as `blah.u6` (U4)                                                                                                                                                                                                                                                                                                                                                                                                                               
           INFO     Adding `LCSC`=`C2842151` to `blah.u6` (U4)                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Adding `Manufacturer`=`QST` to `blah.u6` (U4)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Adding `Partnumber`=`QMI8658C` to `blah.u6` (U4)                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Updating `Reference`->`U4` on `blah.u6` (U4)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Value`->`` on `blah.u6` (U4)                                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `atopile_address`=`blah.u6` to `blah.u6` (U4)                                                                                                                                                                                                                                                                                                                                                                                                                                            
           INFO     Adding `atopile_subaddresses`=`[layouts/default/default.kicad_pcb:u6]` to `blah.u6` (U4)                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Removing outdated component with Reference `C1`                                                                                                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Removing outdated component with Reference `C2`                                                                                                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Removing outdated component with Reference `U2`                                                                                                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Removing outdated component with Reference `C12`                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Removing outdated component with Reference `C13`                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Removing outdated component with Reference `C14`                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Removing outdated component with Reference `C15`                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Removing outdated component with Reference `C16`                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Removing outdated component with Reference `C17`                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Removing outdated component with Reference `C18`                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Removing outdated component with Reference `C5`                                                                                                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Removing outdated component with Reference `C6`                                                                                                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Removing outdated component with Reference `C7`                                                                                                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Removing outdated component with Reference `C8`                                                                                                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Removing outdated component with Reference `C10`                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Removing outdated component with Reference `C11`                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Removing outdated component with Reference `R5`                                                                                                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Removing outdated component with Reference `R6`                                                                                                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Removing outdated component with Reference `R9`                                                                                                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Removing outdated component with Reference `R10`                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Removing outdated component with Reference `R11`                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Removing outdated component with Reference `L2`                                                                                                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Removing outdated component with Reference `L3`                                                                                                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Removing outdated component with Reference `L4`                                                                                                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Removing outdated component with Reference `L5`                                                                                                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Removing outdated component with Reference `L6`                                                                                                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Removing outdated component with Reference `L7`                                                                                                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Adding net `blah-INT2-0`                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Renaming net `blah-net-32`->`blah-net-2`                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding net `blah-net-4`                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Adding net `blah-net-5`                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Adding net `A`                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
           INFO     Adding net `RES`                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Renaming net `blah-net-24`->`blah-net-0`                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding net `ADC3`                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
           INFO     Adding net `SCX`                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Adding net `blah-CS-0`                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding net `SDO_SUX`                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
           INFO     Adding net `blah-SDO_SA0-1`                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
           INFO     Adding net `gnd`                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Adding net `ADC1`                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
           INFO     Adding net `i2c_sda`                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
           INFO     Adding net `INT1`                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
           INFO     Adding net `SDX`                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Adding net `CS_AUX`                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding net `blah-INT2-1`                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding net `ADC2`                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
           INFO     Adding net `led_status`                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Adding net `vcc`                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Renaming net `blah-net-33`->`blah-net-3`                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding net `vbat`                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
           INFO     Adding net `adc_ntc`                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
           INFO     Adding net `blah-SDO_SA0-0`                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
           INFO     Renaming net `blah-net-25`->`blah-net-1`                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding net `activation`                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Adding net `i2c_scl`                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
           INFO     Adding net `blah-CS-1`                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Removing net `INT2`                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Removing net `SDO_SA0`                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Removing net `ADC3`                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Removing net `blah-net-37`                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Removing net `INT1`                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Removing net `PB4`                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Removing net `VBAT`                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Removing net `ADC2`                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Removing net `blah-net-36`                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Removing net `PB3`                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Removing net `CS`                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
           INFO     Removing net `RES`                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Removing net `PB5`                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Removing net `ADC1`                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Removing net `blah-net-35`                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Removing net `blah-net-34`                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Removing net `PB2`                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Removing net `blah-net-16`                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Removing net `blah-net-17`                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Removing net `blah-net-26`                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Removing net `i2c_scl`                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Removing net `blah-net-18`                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Removing net `i2c_sda`                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Removing net `blah-net-19`                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Removing net `blah-net-27`                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Removing net `vcc`                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Removing net `blah-net-12`                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Removing net `blah-net-28`                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Removing net `blah-net-20`                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Removing net `gnd`                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Removing net `blah-net-13`                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Removing net `blah-net-21`                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Removing net `blah-net-29`                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Removing net `blah-net-22`                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Removing net `blah-net-14`                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Removing net `blah-net-30`                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Removing net `blah-net-31`                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Removing net `blah-net-23`                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Removing net `blah-net-15`                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Removing net `blah-net-7`                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Removing net `blah-net-0`                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Removing net `blah-net-8`                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Removing net `blah-net-1`                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
