[16:45:04] INFO     Updating `YAGEO_CC0603KRX7R9BB104:C0603`->`YAGEO_CC0402KRX7R9BB104:C0402` on `blah.c2` (C4)                                                                                                                                                                                                                                                                                                                                                                                                     
           INFO     Updating `Datasheet`->`https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Murata-Electronics-BLM15PD121SN1D_C76891.pdf` on `blah.e3` (L4)                                                                                                                                                                                                                                                                                                                                                 
           INFO     Updating `Reference`->`L4` on `blah.e3` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Value`->`` on `blah.e3` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Updating `UNI_ROYAL_0603WAF1002T5E:R0603`->`YAGEO_RC0402FR_0710KL:R0402` on `blah.r1` (R1)                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Updating `LCSC`->`C60490` on `blah.r1` (R1)                                                                                                                                                                                                                                                                                                                                                                                                                                                     
           INFO     Updating `Manufacturer`->`YAGEO` on `blah.r1` (R1)                                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Updating `Partnumber`->`RC0402FR-0710KL` on `blah.r1` (R1)                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Updating `PARAM_max_power`->`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.0625, "max": 0.0625}}]}}, "unit": "watt"}}` on `blah.r1` (R1)                                                                                                                                                                                                                                  
           INFO     Updating `PARAM_max_voltage`->`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 50.0, "max": 50.0}}]}}, "unit": "volt"}}` on `blah.r1` (R1)                                                                                                                                                                                                                                    
           INFO     Updating `Datasheet`->`https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_YAGEO-RC0402FR-0710KL_C60490.pdf` on `blah.r1` (R1)                                                                                                                                                                                                                                                                                                                                                             
           INFO     Updating `Reference`->`R1` on `blah.r1` (R1)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Value`->`10kΩ ±1% 62.5mW` on `blah.r1` (R1)                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Updating `UNI_ROYAL_0603WAF1002T5E:R0603`->`Murata_Electronics_NCP15XH103F03RC:R0402` on `blah.r10` (R3)                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Updating `LCSC`->`C77131` on `blah.r10` (R3)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Manufacturer`->`Murata Electronics` on `blah.r10` (R3)                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Updating `Partnumber`->`NCP15XH103F03RC` on `blah.r10` (R3)                                                                                                                                                                                                                                                                                                                                                                                                                                     
           INFO     Updating `Datasheet`->`https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Murata-Electronics-NCP15XH103F03RC_C77131.pdf` on `blah.r10` (R3)                                                                                                                                                                                                                                                                                                                                               
           INFO     Updating `Reference`->`R3` on `blah.r10` (R3)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Updating `Value`->`` on `blah.r10` (R3)                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Updating `UNI_ROYAL_0603WAF1002T5E:R0603`->`YAGEO_RC0402FR_0710KL:R0402` on `blah.r11` (R4)                                                                                                                                                                                                                                                                                                                                                                                                     
           INFO     Updating `LCSC`->`C60490` on `blah.r11` (R4)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Manufacturer`->`YAGEO` on `blah.r11` (R4)                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Updating `Partnumber`->`RC0402FR-0710KL` on `blah.r11` (R4)                                                                                                                                                                                                                                                                                                                                                                                                                                     
           INFO     Updating `PARAM_max_power`->`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.0625, "max": 0.0625}}]}}, "unit": "watt"}}` on `blah.r11` (R4)                                                                                                                                                                                                                                 
           INFO     Updating `PARAM_max_voltage`->`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 50.0, "max": 50.0}}]}}, "unit": "volt"}}` on `blah.r11` (R4)                                                                                                                                                                                                                                   
           INFO     Updating `Datasheet`->`https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_YAGEO-RC0402FR-0710KL_C60490.pdf` on `blah.r11` (R4)                                                                                                                                                                                                                                                                                                                                                            
           INFO     Updating `Reference`->`R4` on `blah.r11` (R4)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Updating `Value`->`10kΩ ±1% 62.5mW` on `blah.r11` (R4)                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Updating `UNI_ROYAL_0603WAF1002T5E:R0603`->`YAGEO_RC0402FR_0710KL:R0402` on `blah.r12` (R5)                                                                                                                                                                                                                                                                                                                                                                                                     
           INFO     Updating `LCSC`->`C60490` on `blah.r12` (R5)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Manufacturer`->`YAGEO` on `blah.r12` (R5)                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Updating `Partnumber`->`RC0402FR-0710KL` on `blah.r12` (R5)                                                                                                                                                                                                                                                                                                                                                                                                                                     
           INFO     Updating `PARAM_max_power`->`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.0625, "max": 0.0625}}]}}, "unit": "watt"}}` on `blah.r12` (R5)                                                                                                                                                                                                                                 
           INFO     Updating `PARAM_max_voltage`->`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 50.0, "max": 50.0}}]}}, "unit": "volt"}}` on `blah.r12` (R5)                                                                                                                                                                                                                                   
           INFO     Updating `Datasheet`->`https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_YAGEO-RC0402FR-0710KL_C60490.pdf` on `blah.r12` (R5)                                                                                                                                                                                                                                                                                                                                                            
           INFO     Updating `Reference`->`R5` on `blah.r12` (R5)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Updating `Value`->`10kΩ ±1% 62.5mW` on `blah.r12` (R5)                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Updating `UNI_ROYAL_0603WAF1002T5E:R0603`->`YAGEO_RC0402JR_071KL:R0402` on `blah.r13` (R6)                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Updating `LCSC`->`C105637` on `blah.r13` (R6)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Updating `Manufacturer`->`YAGEO` on `blah.r13` (R6)                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Updating `Partnumber`->`RC0402JR-071KL` on `blah.r13` (R6)                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Updating `PARAM_max_power`->`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.0625, "max": 0.0625}}]}}, "unit": "watt"}}` on `blah.r13` (R6)                                                                                                                                                                                                                                 
           INFO     Updating `PARAM_max_voltage`->`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 50.0, "max": 50.0}}]}}, "unit": "volt"}}` on `blah.r13` (R6)                                                                                                                                                                                                                                   
           INFO     Updating `PARAM_resistance`->`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 949.9999992549419, "max": 1050.000000745058}}]}}, "unit": "ohm"}}` on `blah.r13` (R6)                                                                                                                                                                                                      
           INFO     Updating `Datasheet`->`https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_YAGEO-RC0402JR-071KL_C105637.pdf` on `blah.r13` (R6)                                                                                                                                                                                                                                                                                                                                                            
           INFO     Updating `Reference`->`R6` on `blah.r13` (R6)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Updating `Value`->`1kΩ ±5% 62.5mW` on `blah.r13` (R6)                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Updating `UNI_ROYAL_0603WAF1002T5E:R0603`->`YAGEO_RC0402FR_0710KL:R0402` on `blah.r2` (R2)                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Updating `LCSC`->`C60490` on `blah.r2` (R2)                                                                                                                                                                                                                                                                                                                                                                                                                                                     
           INFO     Updating `Manufacturer`->`YAGEO` on `blah.r2` (R2)                                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Updating `Partnumber`->`RC0402FR-0710KL` on `blah.r2` (R2)                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Updating `PARAM_max_power`->`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.0625, "max": 0.0625}}]}}, "unit": "watt"}}` on `blah.r2` (R2)                                                                                                                                                                                                                                  
           INFO     Updating `PARAM_max_voltage`->`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 50.0, "max": 50.0}}]}}, "unit": "volt"}}` on `blah.r2` (R2)                                                                                                                                                                                                                                    
           INFO     Updating `Datasheet`->`https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_YAGEO-RC0402FR-0710KL_C60490.pdf` on `blah.r2` (R2)                                                                                                                                                                                                                                                                                                                                                             
           INFO     Updating `Reference`->`R2` on `blah.r2` (R2)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Value`->`10kΩ ±1% 62.5mW` on `blah.r2` (R2)                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Updating `UNI_ROYAL_0603WAF1002T5E:R0603`->`YAGEO_RC0402JR_074K7L:R0402` on `blah.r20` (R7)                                                                                                                                                                                                                                                                                                                                                                                                     
           INFO     Updating `LCSC`->`C105870` on `blah.r20` (R7)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Updating `Manufacturer`->`YAGEO` on `blah.r20` (R7)                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Updating `Partnumber`->`RC0402JR-074K7L` on `blah.r20` (R7)                                                                                                                                                                                                                                                                                                                                                                                                                                     
           INFO     Updating `PARAM_max_power`->`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.0625, "max": 0.0625}}]}}, "unit": "watt"}}` on `blah.r20` (R7)                                                                                                                                                                                                                                 
           INFO     Updating `PARAM_max_voltage`->`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 50.0, "max": 50.0}}]}}, "unit": "volt"}}` on `blah.r20` (R7)                                                                                                                                                                                                                                   
           INFO     Updating `PARAM_resistance`->`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 4464.999996498227, "max": 4935.000003501773}}]}}, "unit": "ohm"}}` on `blah.r20` (R7)                                                                                                                                                                                                      
           INFO     Updating `Datasheet`->`https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_YAGEO-RC0402JR-074K7L_C105870.pdf` on `blah.r20` (R7)                                                                                                                                                                                                                                                                                                                                                           
           INFO     Updating `Reference`->`R7` on `blah.r20` (R7)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Updating `Value`->`4.7kΩ ±5% 62.5mW` on `blah.r20` (R7)                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Updating `UNI_ROYAL_0603WAF1002T5E:R0603`->`YAGEO_RC0402JR_074K7L:R0402` on `blah.r21` (R8)                                                                                                                                                                                                                                                                                                                                                                                                     
           INFO     Updating `LCSC`->`C105870` on `blah.r21` (R8)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Updating `Manufacturer`->`YAGEO` on `blah.r21` (R8)                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Updating `Partnumber`->`RC0402JR-074K7L` on `blah.r21` (R8)                                                                                                                                                                                                                                                                                                                                                                                                                                     
           INFO     Updating `PARAM_max_power`->`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.0625, "max": 0.0625}}]}}, "unit": "watt"}}` on `blah.r21` (R8)                                                                                                                                                                                                                                 
           INFO     Updating `PARAM_max_voltage`->`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 50.0, "max": 50.0}}]}}, "unit": "volt"}}` on `blah.r21` (R8)                                                                                                                                                                                                                                   
           INFO     Updating `PARAM_resistance`->`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 4464.999996498227, "max": 4935.000003501773}}]}}, "unit": "ohm"}}` on `blah.r21` (R8)                                                                                                                                                                                                      
           INFO     Updating `Datasheet`->`https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_YAGEO-RC0402JR-074K7L_C105870.pdf` on `blah.r21` (R8)                                                                                                                                                                                                                                                                                                                                                           
           INFO     Updating `Reference`->`R8` on `blah.r21` (R8)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Updating `Value`->`4.7kΩ ±5% 62.5mW` on `blah.r21` (R8)                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Positioning 0 footprints                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Applying routes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Backing up layout to /Users/glovepost/Projects/aertactx-dogtracker/build/builds/example/example.20260109-164504.kicad_pcb                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Updating layout /Users/glovepost/Projects/aertactx-dogtracker/layouts/example/example.kicad_pcb                                                                                                                                                                                                                                                                                                                                                                                                 
