[16:09:17] INFO     Adding `Q_J_CR2032_BS_6_1:BAT-TH_CR2032-BS-6-1` as `blah.b1` (B1)                                                                                                                                                                                                                                                                                                                                                                                                                               
           INFO     Adding `Partnumber`=`LQM18FN100M00D` to `blah.e1` (L2)                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `PARAM_dc_resistance`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 1.17, "max": 1.17}}]}}, "unit": "ohm"}}` to `blah.e1` (L2)                                                                                                                                                                                                                                      
           INFO     Adding `PARAM_inductance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 7.99999997e-06, "max": 1.200000003e-05}}]}}, "unit": "henry"}}` to `blah.e1` (L2)                                                                                                                                                                                                             
           INFO     Adding `PARAM_max_current`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.05, "max": 0.05}}]}}, "unit": "ampere"}}` to `blah.e1` (L2)                                                                                                                                                                                                                                     
           INFO     Adding `PARAM_saturation_current`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.05, "max": 0.05}}]}}, "unit": "ampere"}}` to `blah.e1` (L2)                                                                                                                                                                                                                              
           INFO     Adding `PARAM_self_resonant_frequency`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 30000000.0, "max": 30000000.0}}]}}, "unit": "hertz"}}` to `blah.e1` (L2)                                                                                                                                                                                                              
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Murata-Electronics-LQM18FN100M00D_C86083.pdf` to `blah.e1` (L2)                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Reference`->`L2` on `blah.e1` (L2)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Value`->`10µH ±20% 30MHz 50mA 1.17Ω` on `blah.e1` (L2)                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Adding `atopile_address`=`blah.e1` to `blah.e1` (L2)                                                                                                                                                                                                                                                                                                                                                                                                                                            
           INFO     Adding `atopile_subaddresses`=`[layouts/default/default.kicad_pcb:e1]` to `blah.e1` (L2)                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding `Murata_Electronics_LQM18FN100M00D:L0603` as `blah.e2` (L3)                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Adding `LCSC`=`C86083` to `blah.e2` (L3)                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding `Manufacturer`=`Murata Electronics` to `blah.e2` (L3)                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Adding `Partnumber`=`LQM18FN100M00D` to `blah.e2` (L3)                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `PARAM_dc_resistance`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 1.17, "max": 1.17}}]}}, "unit": "ohm"}}` to `blah.e2` (L3)                                                                                                                                                                                                                                      
           INFO     Adding `PARAM_inductance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 7.99999997e-06, "max": 1.200000003e-05}}]}}, "unit": "henry"}}` to `blah.e2` (L3)                                                                                                                                                                                                             
           INFO     Adding `PARAM_max_current`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.05, "max": 0.05}}]}}, "unit": "ampere"}}` to `blah.e2` (L3)                                                                                                                                                                                                                                     
           INFO     Adding `PARAM_saturation_current`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.05, "max": 0.05}}]}}, "unit": "ampere"}}` to `blah.e2` (L3)                                                                                                                                                                                                                              
           INFO     Adding `PARAM_self_resonant_frequency`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 30000000.0, "max": 30000000.0}}]}}, "unit": "hertz"}}` to `blah.e2` (L3)                                                                                                                                                                                                              
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Murata-Electronics-LQM18FN100M00D_C86083.pdf` to `blah.e2` (L3)                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Reference`->`L3` on `blah.e2` (L3)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Value`->`10µH ±20% 30MHz 50mA 1.17Ω` on `blah.e2` (L3)                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Adding `atopile_address`=`blah.e2` to `blah.e2` (L3)                                                                                                                                                                                                                                                                                                                                                                                                                                            
           INFO     Adding `atopile_subaddresses`=`[layouts/default/default.kicad_pcb:e2]` to `blah.e2` (L3)                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding `Murata_Electronics_LQM18FN100M00D:L0603` as `blah.e3` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Adding `LCSC`=`C86083` to `blah.e3` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding `Manufacturer`=`Murata Electronics` to `blah.e3` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Adding `Partnumber`=`LQM18FN100M00D` to `blah.e3` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `PARAM_dc_resistance`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 1.17, "max": 1.17}}]}}, "unit": "ohm"}}` to `blah.e3` (L4)                                                                                                                                                                                                                                      
           INFO     Adding `PARAM_inductance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 7.99999997e-06, "max": 1.200000003e-05}}]}}, "unit": "henry"}}` to `blah.e3` (L4)                                                                                                                                                                                                             
           INFO     Adding `PARAM_max_current`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.05, "max": 0.05}}]}}, "unit": "ampere"}}` to `blah.e3` (L4)                                                                                                                                                                                                                                     
           INFO     Adding `PARAM_saturation_current`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.05, "max": 0.05}}]}}, "unit": "ampere"}}` to `blah.e3` (L4)                                                                                                                                                                                                                              
           INFO     Adding `PARAM_self_resonant_frequency`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 30000000.0, "max": 30000000.0}}]}}, "unit": "hertz"}}` to `blah.e3` (L4)                                                                                                                                                                                                              
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Murata-Electronics-LQM18FN100M00D_C86083.pdf` to `blah.e3` (L4)                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Reference`->`L4` on `blah.e3` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Value`->`10µH ±20% 30MHz 50mA 1.17Ω` on `blah.e3` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Adding `atopile_address`=`blah.e3` to `blah.e3` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                                            
           INFO     Adding `atopile_subaddresses`=`[layouts/default/default.kicad_pcb:e3]` to `blah.e3` (L4)                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding `UNI_ROYAL_0603WAF1002T5E:R0603` as `blah.r12` (R5)                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Adding `LCSC`=`C25804` to `blah.r12` (R5)                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Adding `Manufacturer`=`UNI-ROYAL(Uniroyal Elec)` to `blah.r12` (R5)                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `Partnumber`=`0603WAF1002T5E` to `blah.r12` (R5)                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Adding `PARAM_max_power`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.1, "max": 0.1}}]}}, "unit": "watt"}}` to `blah.r12` (R5)                                                                                                                                                                                                                                          
           INFO     Adding `PARAM_max_voltage`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 75.0, "max": 75.0}}]}}, "unit": "volt"}}` to `blah.r12` (R5)                                                                                                                                                                                                                                      
           INFO     Adding `PARAM_resistance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 9900.000002235174, "max": 10099.999997764826}}]}}, "unit": "ohm"}}` to `blah.r12` (R5)                                                                                                                                                                                                        
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2206010045_UNI-ROYAL-Uniroyal-Elec-0603WAF1002T5E_C25804.pdf` to `blah.r12` (R5)                                                                                                                                                                                                                                                                                                                                              
           INFO     Updating `Reference`->`R5` on `blah.r12` (R5)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Updating `Value`->`10kΩ ±1% 100mW` on `blah.r12` (R5)                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Adding `atopile_address`=`blah.r12` to `blah.r12` (R5)                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `atopile_subaddresses`=`[layouts/default/default.kicad_pcb:r12]` to `blah.r12` (R5)                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Adding `UNI_ROYAL_0603WAF1002T5E:R0603` as `blah.r13` (R6)                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Adding `LCSC`=`C25804` to `blah.r13` (R6)                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Adding `Manufacturer`=`UNI-ROYAL(Uniroyal Elec)` to `blah.r13` (R6)                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `Partnumber`=`0603WAF1002T5E` to `blah.r13` (R6)                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Adding `PARAM_max_power`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.1, "max": 0.1}}]}}, "unit": "watt"}}` to `blah.r13` (R6)                                                                                                                                                                                                                                          
           INFO     Adding `PARAM_max_voltage`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 75.0, "max": 75.0}}]}}, "unit": "volt"}}` to `blah.r13` (R6)                                                                                                                                                                                                                                      
           INFO     Adding `PARAM_resistance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 9900.000002235174, "max": 10099.999997764826}}]}}, "unit": "ohm"}}` to `blah.r13` (R6)                                                                                                                                                                                                        
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2206010045_UNI-ROYAL-Uniroyal-Elec-0603WAF1002T5E_C25804.pdf` to `blah.r13` (R6)                                                                                                                                                                                                                                                                                                                                              
           INFO     Updating `Reference`->`R6` on `blah.r13` (R6)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Updating `Value`->`10kΩ ±1% 100mW` on `blah.r13` (R6)                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Adding `atopile_address`=`blah.r13` to `blah.r13` (R6)                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `atopile_subaddresses`=`[layouts/default/default.kicad_pcb:r13]` to `blah.r13` (R6)                                                                                                                                                                                                                                                                                                                                                                                                      
[16:09:18] INFO     Adding `STMicroelectronics_LIS3DHTR:LGA-16_L3.0-W3.0-P0.50-TL` as `blah.u3` (U2)                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Adding `LCSC`=`C15134` to `blah.u3` (U2)                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding `Manufacturer`=`STMicroelectronics` to `blah.u3` (U2)                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Adding `Partnumber`=`LIS3DHTR` to `blah.u3` (U2)                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Updating `Reference`->`U2` on `blah.u3` (U2)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Value`->`` on `blah.u3` (U2)                                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `atopile_address`=`blah.u3` to `blah.u3` (U2)                                                                                                                                                                                                                                                                                                                                                                                                                                            
           INFO     Adding `atopile_subaddresses`=`[layouts/default/default.kicad_pcb:u3]` to `blah.u3` (U2)                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding `Texas_Instruments_LM431ACMX:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL.kicad_mod` as `blah.u5` (U3)                                                                                                                                                                                                                                                                                                                                                                                                
