[15:49:44] INFO     Adding `Murata_Electronics_LQM18FN100M00D:L0603` as `blah.e1.coil_a` (L2)                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Adding `PARAM_dc_resistance`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 1.17, "max": 1.17}}]}}, "unit": "ohm"}}` to `blah.e1.coil_b` (L3)                                                                                                                                                                                                                               
           INFO     Adding `PARAM_inductance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 7.99999997e-06, "max": 1.200000003e-05}}]}}, "unit": "henry"}}` to `blah.e1.coil_b` (L3)                                                                                                                                                                                                      
           INFO     Adding `PARAM_max_current`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.05, "max": 0.05}}]}}, "unit": "ampere"}}` to `blah.e1.coil_b` (L3)                                                                                                                                                                                                                              
           INFO     Adding `PARAM_saturation_current`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.05, "max": 0.05}}]}}, "unit": "ampere"}}` to `blah.e1.coil_b` (L3)                                                                                                                                                                                                                       
           INFO     Adding `PARAM_self_resonant_frequency`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 30000000.0, "max": 30000000.0}}]}}, "unit": "hertz"}}` to `blah.e1.coil_b` (L3)                                                                                                                                                                                                       
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Murata-Electronics-LQM18FN100M00D_C86083.pdf` to `blah.e1.coil_b` (L3)                                                                                                                                                                                                                                                                                                                                             
           INFO     Updating `Reference`->`L3` on `blah.e1.coil_b` (L3)                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Updating `Value`->`10µH ±20% 30MHz 50mA 1.17Ω` on `blah.e1.coil_b` (L3)                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Adding `atopile_address`=`blah.e1.coil_b` to `blah.e1.coil_b` (L3)                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Adding `atopile_subaddresses`=`[layouts/default/default.kicad_pcb:e1.coil_b]` to `blah.e1.coil_b` (L3)                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `Murata_Electronics_LQM18FN100M00D:L0603` as `blah.e2.coil_a` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Adding `LCSC`=`C86083` to `blah.e2.coil_a` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Adding `Manufacturer`=`Murata Electronics` to `blah.e2.coil_a` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `Partnumber`=`LQM18FN100M00D` to `blah.e2.coil_a` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Adding `PARAM_dc_resistance`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 1.17, "max": 1.17}}]}}, "unit": "ohm"}}` to `blah.e2.coil_a` (L4)                                                                                                                                                                                                                               
           INFO     Adding `PARAM_inductance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 7.99999997e-06, "max": 1.200000003e-05}}]}}, "unit": "henry"}}` to `blah.e2.coil_a` (L4)                                                                                                                                                                                                      
           INFO     Adding `PARAM_max_current`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.05, "max": 0.05}}]}}, "unit": "ampere"}}` to `blah.e2.coil_a` (L4)                                                                                                                                                                                                                              
           INFO     Adding `PARAM_saturation_current`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.05, "max": 0.05}}]}}, "unit": "ampere"}}` to `blah.e2.coil_a` (L4)                                                                                                                                                                                                                       
           INFO     Adding `PARAM_self_resonant_frequency`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 30000000.0, "max": 30000000.0}}]}}, "unit": "hertz"}}` to `blah.e2.coil_a` (L4)                                                                                                                                                                                                       
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Murata-Electronics-LQM18FN100M00D_C86083.pdf` to `blah.e2.coil_a` (L4)                                                                                                                                                                                                                                                                                                                                             
           INFO     Updating `Reference`->`L4` on `blah.e2.coil_a` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Updating `Value`->`10µH ±20% 30MHz 50mA 1.17Ω` on `blah.e2.coil_a` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Adding `atopile_address`=`blah.e2.coil_a` to `blah.e2.coil_a` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Adding `atopile_subaddresses`=`[layouts/default/default.kicad_pcb:e2.coil_a]` to `blah.e2.coil_a` (L4)                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `Murata_Electronics_LQM18FN100M00D:L0603` as `blah.e2.coil_b` (L5)                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Adding `LCSC`=`C86083` to `blah.e2.coil_b` (L5)                                                                                                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Adding `Manufacturer`=`Murata Electronics` to `blah.e2.coil_b` (L5)                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `Partnumber`=`LQM18FN100M00D` to `blah.e2.coil_b` (L5)                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Adding `PARAM_dc_resistance`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 1.17, "max": 1.17}}]}}, "unit": "ohm"}}` to `blah.e2.coil_b` (L5)                                                                                                                                                                                                                               
           INFO     Adding `PARAM_inductance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 7.99999997e-06, "max": 1.200000003e-05}}]}}, "unit": "henry"}}` to `blah.e2.coil_b` (L5)                                                                                                                                                                                                      
           INFO     Adding `PARAM_max_current`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.05, "max": 0.05}}]}}, "unit": "ampere"}}` to `blah.e2.coil_b` (L5)                                                                                                                                                                                                                              
           INFO     Adding `PARAM_saturation_current`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.05, "max": 0.05}}]}}, "unit": "ampere"}}` to `blah.e2.coil_b` (L5)                                                                                                                                                                                                                       
           INFO     Adding `PARAM_self_resonant_frequency`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 30000000.0, "max": 30000000.0}}]}}, "unit": "hertz"}}` to `blah.e2.coil_b` (L5)                                                                                                                                                                                                       
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Murata-Electronics-LQM18FN100M00D_C86083.pdf` to `blah.e2.coil_b` (L5)                                                                                                                                                                                                                                                                                                                                             
           INFO     Updating `Reference`->`L5` on `blah.e2.coil_b` (L5)                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Updating `Value`->`10µH ±20% 30MHz 50mA 1.17Ω` on `blah.e2.coil_b` (L5)                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Adding `atopile_address`=`blah.e2.coil_b` to `blah.e2.coil_b` (L5)                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Adding `atopile_subaddresses`=`[layouts/default/default.kicad_pcb:e2.coil_b]` to `blah.e2.coil_b` (L5)                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `Murata_Electronics_LQM18FN100M00D:L0603` as `blah.e3.coil_a` (L6)                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Adding `LCSC`=`C86083` to `blah.e3.coil_a` (L6)                                                                                                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Adding `Manufacturer`=`Murata Electronics` to `blah.e3.coil_a` (L6)                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `Partnumber`=`LQM18FN100M00D` to `blah.e3.coil_a` (L6)                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Adding `PARAM_dc_resistance`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 1.17, "max": 1.17}}]}}, "unit": "ohm"}}` to `blah.e3.coil_a` (L6)                                                                                                                                                                                                                               
           INFO     Adding `PARAM_inductance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 7.99999997e-06, "max": 1.200000003e-05}}]}}, "unit": "henry"}}` to `blah.e3.coil_a` (L6)                                                                                                                                                                                                      
           INFO     Adding `PARAM_max_current`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.05, "max": 0.05}}]}}, "unit": "ampere"}}` to `blah.e3.coil_a` (L6)                                                                                                                                                                                                                              
           INFO     Adding `PARAM_saturation_current`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.05, "max": 0.05}}]}}, "unit": "ampere"}}` to `blah.e3.coil_a` (L6)                                                                                                                                                                                                                       
           INFO     Adding `PARAM_self_resonant_frequency`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 30000000.0, "max": 30000000.0}}]}}, "unit": "hertz"}}` to `blah.e3.coil_a` (L6)                                                                                                                                                                                                       
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Murata-Electronics-LQM18FN100M00D_C86083.pdf` to `blah.e3.coil_a` (L6)                                                                                                                                                                                                                                                                                                                                             
           INFO     Updating `Reference`->`L6` on `blah.e3.coil_a` (L6)                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Updating `Value`->`10µH ±20% 30MHz 50mA 1.17Ω` on `blah.e3.coil_a` (L6)                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Adding `atopile_address`=`blah.e3.coil_a` to `blah.e3.coil_a` (L6)                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Adding `atopile_subaddresses`=`[layouts/default/default.kicad_pcb:e3.coil_a]` to `blah.e3.coil_a` (L6)                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `Murata_Electronics_LQM18FN100M00D:L0603` as `blah.e3.coil_b` (L7)                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Adding `LCSC`=`C86083` to `blah.e3.coil_b` (L7)                                                                                                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Adding `Manufacturer`=`Murata Electronics` to `blah.e3.coil_b` (L7)                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `Partnumber`=`LQM18FN100M00D` to `blah.e3.coil_b` (L7)                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Adding `PARAM_dc_resistance`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 1.17, "max": 1.17}}]}}, "unit": "ohm"}}` to `blah.e3.coil_b` (L7)                                                                                                                                                                                                                               
           INFO     Adding `PARAM_inductance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 7.99999997e-06, "max": 1.200000003e-05}}]}}, "unit": "henry"}}` to `blah.e3.coil_b` (L7)                                                                                                                                                                                                      
           INFO     Adding `PARAM_max_current`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.05, "max": 0.05}}]}}, "unit": "ampere"}}` to `blah.e3.coil_b` (L7)                                                                                                                                                                                                                              
           INFO     Adding `PARAM_saturation_current`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.05, "max": 0.05}}]}}, "unit": "ampere"}}` to `blah.e3.coil_b` (L7)                                                                                                                                                                                                                       
           INFO     Adding `PARAM_self_resonant_frequency`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 30000000.0, "max": 30000000.0}}]}}, "unit": "hertz"}}` to `blah.e3.coil_b` (L7)                                                                                                                                                                                                       
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Murata-Electronics-LQM18FN100M00D_C86083.pdf` to `blah.e3.coil_b` (L7)                                                                                                                                                                                                                                                                                                                                             
           INFO     Updating `Reference`->`L7` on `blah.e3.coil_b` (L7)                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Updating `Value`->`10µH ±20% 30MHz 50mA 1.17Ω` on `blah.e3.coil_b` (L7)                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Adding `atopile_address`=`blah.e3.coil_b` to `blah.e3.coil_b` (L7)                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Adding `atopile_subaddresses`=`[layouts/default/default.kicad_pcb:e3.coil_b]` to `blah.e3.coil_b` (L7)                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding net `blah-net-7`                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Renaming net `blah-net-3`->`blah-net-15`                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Renaming net `blah-net-16`->`blah-net-28`                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Renaming net `blah-net-11`->`blah-net-23`                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Adding net `blah-net-0`                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Adding net `blah-net-8`                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Renaming net `blah-net-17`->`blah-net-29`                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Renaming net `blah-net-12`->`blah-net-24`                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Renaming net `blah-net-13`->`blah-net-25`                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Adding net `blah-net-1`                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Adding net `blah-net-9`                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Renaming net `blah-net-5`->`blah-net-17`                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Renaming net `blah-net-20`->`blah-net-32`                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Renaming net `blah-net-6`->`blah-net-18`                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Renaming net `blah-net-19`->`blah-net-31`                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Adding net `blah-net-2`                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Adding net `blah-net-10`                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Renaming net `blah-net-21`->`blah-net-33`                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Renaming net `blah-net-7`->`blah-net-19`                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Renaming net `blah-net-4`->`blah-net-16`                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding net `blah-net-11`                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Renaming net `blah-net-22`->`blah-net-34`                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Adding net `blah-net-3`                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Renaming net `blah-net-18`->`blah-net-30`                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Renaming net `blah-net-15`->`blah-net-27`                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Renaming net `blah-net-24`->`blah-net-36`                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Adding net `blah-net-4`                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Renaming net `blah-net-0`->`blah-net-12`                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Renaming net `blah-net-8`->`blah-net-20`                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding net `blah-net-5`                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Renaming net `blah-net-9`->`blah-net-21`                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Renaming net `blah-net-25`->`blah-net-37`                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Renaming net `blah-net-14`->`blah-net-26`                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Renaming net `blah-net-1`->`blah-net-13`                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding net `blah-net-6`                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Renaming net `blah-net-10`->`blah-net-22`                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Renaming net `blah-net-2`->`blah-net-14`                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Renaming net `blah-net-23`->`blah-net-35`                                                                                                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Positioning 0 footprints                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Applying routes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Backing up layout to /Users/glovepost/Projects/aertactx-dogtracker/build/builds/example/example.20260109-154944.kicad_pcb                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Updating layout /Users/glovepost/Projects/aertactx-dogtracker/layouts/example/example.kicad_pcb                                                                                                                                                                                                                                                                                                                                                                                                 
