[15:47:16] INFO     Adding `YAGEO_CC0603KRX7R9BB104:C0603` as `c1` (C3)                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `YAGEO_CC0603KRX7R9BB104:C0603` as `c10` (C12)                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Adding `LCSC`=`C14663` to `c10` (C12)                                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Adding `Manufacturer`=`YAGEO` to `c10` (C12)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Adding `Partnumber`=`CC0603KRX7R9BB104` to `c10` (C12)                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `PARAM_capacitance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 9e-08, "max": 1.1e-07}}]}}, "unit": "farad"}}` to `c10` (C12)                                                                                                                                                                                                                                
           INFO     Adding `PARAM_max_voltage`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 50.0, "max": 50.0}}]}}, "unit": "volt"}}` to `c10` (C12)                                                                                                                                                                                                                                          
           INFO     Adding `PARAM_temperature_coefficient`=`{"type": "EnumSet", "data": {"elements": [{"name": "X7R"}], "enum": {"name": "TemperatureCoefficient", "values": {"Y5V": 1, "Z5U": 2, "X7S": 3, "X5R": 4, "X6R": 5, "X7R": 6, "X8R": 7, "C0G": 8}}}}` to `c10` (C12)                                                                                                                                                                                                                                    
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf` to `c10` (C12)                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Updating `Reference`->`C12` on `c10` (C12)                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Updating `Value`->`100nF ±10% 50V X7R` on `c10` (C12)                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Adding `atopile_address`=`c10` to `c10` (C12)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Adding `YAGEO_CC0603KRX7R9BB104:C0603` as `c11` (C13)                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Adding `LCSC`=`C14663` to `c11` (C13)                                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Adding `Manufacturer`=`YAGEO` to `c11` (C13)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Adding `Partnumber`=`CC0603KRX7R9BB104` to `c11` (C13)                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `PARAM_capacitance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 9e-08, "max": 1.1e-07}}]}}, "unit": "farad"}}` to `c11` (C13)                                                                                                                                                                                                                                
           INFO     Adding `PARAM_max_voltage`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 50.0, "max": 50.0}}]}}, "unit": "volt"}}` to `c11` (C13)                                                                                                                                                                                                                                          
           INFO     Adding `PARAM_temperature_coefficient`=`{"type": "EnumSet", "data": {"elements": [{"name": "X7R"}], "enum": {"name": "TemperatureCoefficient", "values": {"Y5V": 1, "Z5U": 2, "X7S": 3, "X5R": 4, "X6R": 5, "X7R": 6, "X8R": 7, "C0G": 8}}}}` to `c11` (C13)                                                                                                                                                                                                                                    
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf` to `c11` (C13)                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Updating `Reference`->`C13` on `c11` (C13)                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Updating `Value`->`100nF ±10% 50V X7R` on `c11` (C13)                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Adding `atopile_address`=`c11` to `c11` (C13)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Adding `YAGEO_CC0603KRX7R9BB104:C0603` as `c12` (C14)                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Adding `LCSC`=`C14663` to `c12` (C14)                                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Adding `Manufacturer`=`YAGEO` to `c12` (C14)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Adding `Partnumber`=`CC0603KRX7R9BB104` to `c12` (C14)                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `PARAM_capacitance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 9e-08, "max": 1.1e-07}}]}}, "unit": "farad"}}` to `c12` (C14)                                                                                                                                                                                                                                
           INFO     Adding `PARAM_max_voltage`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 50.0, "max": 50.0}}]}}, "unit": "volt"}}` to `c12` (C14)                                                                                                                                                                                                                                          
           INFO     Adding `PARAM_temperature_coefficient`=`{"type": "EnumSet", "data": {"elements": [{"name": "X7R"}], "enum": {"name": "TemperatureCoefficient", "values": {"Y5V": 1, "Z5U": 2, "X7S": 3, "X5R": 4, "X6R": 5, "X7R": 6, "X8R": 7, "C0G": 8}}}}` to `c12` (C14)                                                                                                                                                                                                                                    
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf` to `c12` (C14)                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Updating `Reference`->`C14` on `c12` (C14)                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Updating `Value`->`100nF ±10% 50V X7R` on `c12` (C14)                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Adding `atopile_address`=`c12` to `c12` (C14)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Adding `YAGEO_CC0603KRX7R9BB104:C0603` as `c15` (C15)                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Adding `LCSC`=`C14663` to `c15` (C15)                                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Adding `Manufacturer`=`YAGEO` to `c15` (C15)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Adding `Partnumber`=`CC0603KRX7R9BB104` to `c15` (C15)                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `PARAM_capacitance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 9e-08, "max": 1.1e-07}}]}}, "unit": "farad"}}` to `c15` (C15)                                                                                                                                                                                                                                
           INFO     Adding `PARAM_max_voltage`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 50.0, "max": 50.0}}]}}, "unit": "volt"}}` to `c15` (C15)                                                                                                                                                                                                                                          
           INFO     Adding `PARAM_temperature_coefficient`=`{"type": "EnumSet", "data": {"elements": [{"name": "X7R"}], "enum": {"name": "TemperatureCoefficient", "values": {"Y5V": 1, "Z5U": 2, "X7S": 3, "X5R": 4, "X6R": 5, "X7R": 6, "X8R": 7, "C0G": 8}}}}` to `c15` (C15)                                                                                                                                                                                                                                    
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf` to `c15` (C15)                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Updating `Reference`->`C15` on `c15` (C15)                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Updating `Value`->`100nF ±10% 50V X7R` on `c15` (C15)                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Adding `atopile_address`=`c15` to `c15` (C15)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Adding `YAGEO_CC0603KRX7R9BB104:C0603` as `c16` (C16)                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Adding `LCSC`=`C14663` to `c16` (C16)                                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Adding `Manufacturer`=`YAGEO` to `c16` (C16)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Adding `Partnumber`=`CC0603KRX7R9BB104` to `c16` (C16)                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `PARAM_capacitance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 9e-08, "max": 1.1e-07}}]}}, "unit": "farad"}}` to `c16` (C16)                                                                                                                                                                                                                                
           INFO     Adding `PARAM_max_voltage`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 50.0, "max": 50.0}}]}}, "unit": "volt"}}` to `c16` (C16)                                                                                                                                                                                                                                          
           INFO     Adding `PARAM_temperature_coefficient`=`{"type": "EnumSet", "data": {"elements": [{"name": "X7R"}], "enum": {"name": "TemperatureCoefficient", "values": {"Y5V": 1, "Z5U": 2, "X7S": 3, "X5R": 4, "X6R": 5, "X7R": 6, "X8R": 7, "C0G": 8}}}}` to `c16` (C16)                                                                                                                                                                                                                                    
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf` to `c16` (C16)                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Updating `Reference`->`C16` on `c16` (C16)                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Updating `Value`->`100nF ±10% 50V X7R` on `c16` (C16)                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Adding `atopile_address`=`c16` to `c16` (C16)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Adding `YAGEO_CC0603KRX7R9BB104:C0603` as `c19` (C17)                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Adding `LCSC`=`C14663` to `c19` (C17)                                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Adding `Manufacturer`=`YAGEO` to `c19` (C17)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Adding `Partnumber`=`CC0603KRX7R9BB104` to `c19` (C17)                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `PARAM_capacitance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 9e-08, "max": 1.1e-07}}]}}, "unit": "farad"}}` to `c19` (C17)                                                                                                                                                                                                                                
           INFO     Adding `PARAM_max_voltage`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 50.0, "max": 50.0}}]}}, "unit": "volt"}}` to `c19` (C17)                                                                                                                                                                                                                                          
           INFO     Adding `PARAM_temperature_coefficient`=`{"type": "EnumSet", "data": {"elements": [{"name": "X7R"}], "enum": {"name": "TemperatureCoefficient", "values": {"Y5V": 1, "Z5U": 2, "X7S": 3, "X5R": 4, "X6R": 5, "X7R": 6, "X8R": 7, "C0G": 8}}}}` to `c19` (C17)                                                                                                                                                                                                                                    
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf` to `c19` (C17)                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Updating `Reference`->`C17` on `c19` (C17)                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Updating `Value`->`100nF ±10% 50V X7R` on `c19` (C17)                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Adding `atopile_address`=`c19` to `c19` (C17)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Adding `YAGEO_CC0603KRX7R9BB104:C0603` as `c2` (C4)                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `LCSC`=`C14663` to `c2` (C4)                                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `Manufacturer`=`YAGEO` to `c2` (C4)                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Adding `Partnumber`=`CC0603KRX7R9BB104` to `c2` (C4)                                                                                                                                                                                                                                                                                                                                                                                                                                            
           INFO     Adding `PARAM_capacitance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 9e-08, "max": 1.1e-07}}]}}, "unit": "farad"}}` to `c2` (C4)                                                                                                                                                                                                                                  
           INFO     Adding `PARAM_max_voltage`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 50.0, "max": 50.0}}]}}, "unit": "volt"}}` to `c2` (C4)                                                                                                                                                                                                                                            
           INFO     Adding `PARAM_temperature_coefficient`=`{"type": "EnumSet", "data": {"elements": [{"name": "X7R"}], "enum": {"name": "TemperatureCoefficient", "values": {"Y5V": 1, "Z5U": 2, "X7S": 3, "X5R": 4, "X6R": 5, "X7R": 6, "X8R": 7, "C0G": 8}}}}` to `c2` (C4)                                                                                                                                                                                                                                      
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf` to `c2` (C4)                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Updating `Reference`->`C4` on `c2` (C4)                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Updating `Value`->`100nF ±10% 50V X7R` on `c2` (C4)                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `atopile_address`=`c2` to `c2` (C4)                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Adding `YAGEO_CC0603KRX7R9BB104:C0603` as `c23` (C18)                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Adding `LCSC`=`C14663` to `c23` (C18)                                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Adding `Manufacturer`=`YAGEO` to `c23` (C18)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Adding `Partnumber`=`CC0603KRX7R9BB104` to `c23` (C18)                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `PARAM_capacitance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 9e-08, "max": 1.1e-07}}]}}, "unit": "farad"}}` to `c23` (C18)                                                                                                                                                                                                                                
           INFO     Adding `PARAM_max_voltage`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 50.0, "max": 50.0}}]}}, "unit": "volt"}}` to `c23` (C18)                                                                                                                                                                                                                                          
           INFO     Adding `PARAM_temperature_coefficient`=`{"type": "EnumSet", "data": {"elements": [{"name": "X7R"}], "enum": {"name": "TemperatureCoefficient", "values": {"Y5V": 1, "Z5U": 2, "X7S": 3, "X5R": 4, "X6R": 5, "X7R": 6, "X8R": 7, "C0G": 8}}}}` to `c23` (C18)                                                                                                                                                                                                                                    
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf` to `c23` (C18)                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Updating `Reference`->`C18` on `c23` (C18)                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Updating `Value`->`100nF ±10% 50V X7R` on `c23` (C18)                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Adding `atopile_address`=`c23` to `c23` (C18)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Adding `YAGEO_CC0603KRX7R9BB104:C0603` as `c3` (C5)                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `LCSC`=`C14663` to `c3` (C5)                                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `Manufacturer`=`YAGEO` to `c3` (C5)                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Adding `Partnumber`=`CC0603KRX7R9BB104` to `c3` (C5)                                                                                                                                                                                                                                                                                                                                                                                                                                            
           INFO     Adding `PARAM_capacitance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 9e-08, "max": 1.1e-07}}]}}, "unit": "farad"}}` to `c3` (C5)                                                                                                                                                                                                                                  
           INFO     Adding `PARAM_max_voltage`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 50.0, "max": 50.0}}]}}, "unit": "volt"}}` to `c3` (C5)                                                                                                                                                                                                                                            
           INFO     Adding `PARAM_temperature_coefficient`=`{"type": "EnumSet", "data": {"elements": [{"name": "X7R"}], "enum": {"name": "TemperatureCoefficient", "values": {"Y5V": 1, "Z5U": 2, "X7S": 3, "X5R": 4, "X6R": 5, "X7R": 6, "X8R": 7, "C0G": 8}}}}` to `c3` (C5)                                                                                                                                                                                                                                      
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf` to `c3` (C5)                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Updating `Reference`->`C5` on `c3` (C5)                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Updating `Value`->`100nF ±10% 50V X7R` on `c3` (C5)                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `atopile_address`=`c3` to `c3` (C5)                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Adding `YAGEO_CC0603KRX7R9BB104:C0603` as `c4` (C6)                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `LCSC`=`C14663` to `c4` (C6)                                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `Manufacturer`=`YAGEO` to `c4` (C6)                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Adding `Partnumber`=`CC0603KRX7R9BB104` to `c4` (C6)                                                                                                                                                                                                                                                                                                                                                                                                                                            
           INFO     Adding `PARAM_capacitance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 9e-08, "max": 1.1e-07}}]}}, "unit": "farad"}}` to `c4` (C6)                                                                                                                                                                                                                                  
           INFO     Adding `PARAM_max_voltage`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 50.0, "max": 50.0}}]}}, "unit": "volt"}}` to `c4` (C6)                                                                                                                                                                                                                                            
           INFO     Adding `PARAM_temperature_coefficient`=`{"type": "EnumSet", "data": {"elements": [{"name": "X7R"}], "enum": {"name": "TemperatureCoefficient", "values": {"Y5V": 1, "Z5U": 2, "X7S": 3, "X5R": 4, "X6R": 5, "X7R": 6, "X8R": 7, "C0G": 8}}}}` to `c4` (C6)                                                                                                                                                                                                                                      
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf` to `c4` (C6)                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Updating `Reference`->`C6` on `c4` (C6)                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Updating `Value`->`100nF ±10% 50V X7R` on `c4` (C6)                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `atopile_address`=`c4` to `c4` (C6)                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Adding `YAGEO_CC0603KRX7R9BB104:C0603` as `c5` (C7)                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `LCSC`=`C14663` to `c5` (C7)                                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `Manufacturer`=`YAGEO` to `c5` (C7)                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Adding `Partnumber`=`CC0603KRX7R9BB104` to `c5` (C7)                                                                                                                                                                                                                                                                                                                                                                                                                                            
           INFO     Adding `PARAM_capacitance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 9e-08, "max": 1.1e-07}}]}}, "unit": "farad"}}` to `c5` (C7)                                                                                                                                                                                                                                  
           INFO     Adding `PARAM_max_voltage`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 50.0, "max": 50.0}}]}}, "unit": "volt"}}` to `c5` (C7)                                                                                                                                                                                                                                            
           INFO     Adding `PARAM_temperature_coefficient`=`{"type": "EnumSet", "data": {"elements": [{"name": "X7R"}], "enum": {"name": "TemperatureCoefficient", "values": {"Y5V": 1, "Z5U": 2, "X7S": 3, "X5R": 4, "X6R": 5, "X7R": 6, "X8R": 7, "C0G": 8}}}}` to `c5` (C7)                                                                                                                                                                                                                                      
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf` to `c5` (C7)                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Updating `Reference`->`C7` on `c5` (C7)                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Updating `Value`->`100nF ±10% 50V X7R` on `c5` (C7)                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `atopile_address`=`c5` to `c5` (C7)                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Adding `YAGEO_CC0603KRX7R9BB104:C0603` as `c6` (C8)                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `LCSC`=`C14663` to `c6` (C8)                                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `Manufacturer`=`YAGEO` to `c6` (C8)                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Adding `Partnumber`=`CC0603KRX7R9BB104` to `c6` (C8)                                                                                                                                                                                                                                                                                                                                                                                                                                            
           INFO     Adding `PARAM_capacitance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 9e-08, "max": 1.1e-07}}]}}, "unit": "farad"}}` to `c6` (C8)                                                                                                                                                                                                                                  
           INFO     Adding `PARAM_max_voltage`=`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 50.0, "max": 50.0}}]}}, "unit": "volt"}}` to `c6` (C8)                                                                                                                                                                                                                                            
           INFO     Adding `PARAM_temperature_coefficient`=`{"type": "EnumSet", "data": {"elements": [{"name": "X7R"}], "enum": {"name": "TemperatureCoefficient", "values": {"Y5V": 1, "Z5U": 2, "X7S": 3, "X5R": 4, "X6R": 5, "X7R": 6, "X8R": 7, "C0G": 8}}}}` to `c6` (C8)                                                                                                                                                                                                                                      
           INFO     Adding `Datasheet`=`https://www.lcsc.com/datasheet/lcsc_datasheet_2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf` to `c6` (C8)                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Updating `Reference`->`C8` on `c6` (C8)                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Updating `Value`->`100nF ±10% 50V X7R` on `c6` (C8)                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `atopile_address`=`c6` to `c6` (C8)                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Adding `YAGEO_CC0603KRX7R9BB104:C0603` as `c7` (C9)                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `LCSC`=`C14663` to `c7` (C9)                                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Adding `Manufacturer`=`YAGEO` to `c7` (C9)                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Adding `Partnumber`=`CC0603KRX7R9BB104` to `c7` (C9)                                                                                                                                                                                                                                                                                                                                                                                                                                            
           INFO     Adding `PARAM_capacitance`=`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 9e-08, "max": 1.1e-07}}]}}, "unit": "farad"}}` to `c7` (C9)                                                                                                                                                                                                                                  
